sanzen gohyaku gojuu kyuu, yonsen nanahyaku shichijuu go
sanbyaku kyuujuu ni, ni sen nanahyaku kyuujuu ni
sen nanahyaku yonjuu shichi, roppyaku gojuu
ni sen happyaku hachijuu ni, sen kyuuhyaku rokujuu yon
roppyaku juuichi, sen nihyaku sanjuu go
yonsen happyaku gojuu kyuu, sen yonhyaku rokujuu yon
sanbyaku sanjuu kyuu, roppyaku rokujuu hachi
sen happyaku hachijuu san, roppyaku yon
sen gohyaku sanjuu yon, happyaku shichijuu kyuu
yonsen nihyaku go, sen sanbyaku gojuu hitotsu
ni sen sanbyaku kyuujuu hachi, yonsen nanahyaku shichijuu yon
roku, sanzen roppyaku hatachi shichi
nanahyaku hatachi roku, sanbyaku shichijuu kyuu
sanzen yonhyaku hatachi roku, yonsen gohyaku sanjuu shichi
hachijuu hachi, yonhyaku kyuujuu san
sen kyuuhyaku yonjuu go, sen sanbyaku shichijuu go
sanzen kyuuhyaku sanjuu go, ni sen sanbyaku kyuujuu shichi
sen hyaku gojuu ni, sen yonhyaku yonjuu roku
sen kyuuhyaku gojuu yon, nanahyaku hachijuu shichi
ni sen hyaku juuhachi, yonsen nihyaku yon
sen happyaku shichijuu ni, sen kyuuhyaku hatachi
yonsen yonhyaku yonjuu roku, sen hachijuu hachi
ni sen rokujuu shichi, yonsen sanbyaku rokujuu yon
sen yonhyaku shichijuu ni, yonsen roppyaku rokujuu
happyaku hachijuu ni, roppyaku ni
yonsen roppyaku shichijuu san, yonsen kyuuhyaku hatachi hitotsu
ni sen nihyaku hatachi roku, sanzen sanbyaku yonjuu roku
sen hyaku hatachi roku, sen kyuuhyaku hatachi san
sanzen kyuujuu ni, yonsen hyaku hatachi yon
yonsen sanbyaku gojuu roku, sanzen roppyaku hachi
yonsen sanbyaku kyuujuu hachi, sen gohyaku ni
nihyaku gojuu roku, hachijuu hachi
ni sen yonhyaku juuroku, gohyaku hachijuu roku
sanzen sanbyaku gojuu go, nihyaku sanjuu hachi
kyuuhyaku shichi, ni sen kyuuhyaku sanjuu hitotsu
sanzen gohyaku yonjuu san, yonsen yonhyaku hachijuu kyuu
nanahyaku gojuu hachi, ni sen sanbyaku kyuujuu hitotsu
sen hyaku sanjuu shichi, sen juusan
roppyaku shichijuu yon, yonsen yonjuu hitotsu
sen kyuuhyaku juu, sanzen roppyaku yonjuu
kyuuhyaku yonjuu san, nihyaku ni
ni sen happyaku gojuu san, yonsen nihyaku yonjuu yon
yonsen kyuuhyaku hachijuu kyuu, happyaku juuichi
sen yonhyaku sanjuu shichi, sanzen nanahyaku gojuu hachi
ni sen hyakuhachi juuhachi, sen nanahyaku hatachi
hyaku shichijuu go, sanzen yonhyaku juushi
sen nanahyaku shichijuu hitotsu, roppyaku shichijuu shichi
yonsen kyuuhyaku gojuu ni, ni sen nanahyaku gojuu hachi
yonsen happyaku kyuujuu yon, ni sen rokujuu hitotsu
yonsen nihyaku hachijuu go, ni sen happyaku shichijuu
sanzen kyuuhyaku juuhachi, ni sen hyaku shichijuu
sanzen nanahyaku hatachi shichi, hyaku shichijuu shichi
ni sen yonhyaku hatachi kyuu, yonsen roppyaku gojuu san
hyaku juuhachi, yonsen roppyaku kyuujuu shichi
sanzen gojuu go, sen roppyaku shichijuu hachi
yonsen kyuuhyaku gojuu roku, sanzen hyaku ni
yonhyaku hatachi shichi, ni sen happyaku hatachi roku
yonsen hyaku juugo, yonsen gojuu hitotsu
yonhyaku shichijuu roku, ni sen kyuujuu go
yonsen nihyaku rokujuu yon, sanzen hyaku juukyuu
yonsen happyaku shichi, sanzen sanbyaku kyuujuu hachi
yonhyaku hatachi yon, sanzen happyaku gojuu hitotsu
sen gohyaku hachijuu roku, sen nanahyaku hatachi shichi
yonsen shichijuu hachi, ni sen nanahyaku hachijuu kyuu
sen hyaku juuroku, yonsen happyaku sanjuu shichi
yonsen happyaku yonjuu hachi, gohyaku rokujuu ni
ni sen nihyaku juuroku, yonsen sanbyaku yon
sen happyaku kyuujuu, sanzen nihyaku yonjuu ni
sen happyaku juushi, ni sen sanbyaku gojuu hitotsu
yonsen sanbyaku hachijuu yon, roppyaku shichijuu kyuu
ni sen gohyaku juuhachi, sanzen kyuuhyaku hachijuu roku
yonsen nanahyaku hatachi kyuu, ni sen sanbyaku juugo
yonsen hyaku juuni, sanzen happyaku hatachi roku
yonsen sanbyaku sanjuu hachi, yonsen sanbyaku yonjuu ni
kyuujuu san, yonsen kyuuhyaku hatachi hachi
hyaku sanjuu hitotsu, sanbyaku gojuu
sen gohyaku shichijuu yon, ni sen roppyaku roku
sen gohyaku sanjuu, ni sen happyaku yonjuu san
sen juushi, ni sen yonhyaku rokujuu ni
sanbyaku kyuujuu ni, sanzen roppyaku hatachi ni
yonsen nihyaku gojuu hachi, roppyaku juuroku
gohyaku yonjuu san, ni sen nanahyaku sanjuu ni
sanzen yonhyaku juushichi, sanzen happyaku yon
sanzen nanahyaku hatachi shichi, ni sen nanahyaku sanjuu san
yonsen nihyaku gojuu hachi, ni sen hyaku juukyuu
ni sen hyaku gojuu kyuu, yonsen nanahyaku sanjuu roku
yonsen gohyaku gojuu san, sanzen sanbyaku hachijuu shichi
sanzen nanahyaku yonjuu ni, ni sen kyuuhyaku rokujuu hitotsu
sanzen yonhyaku hachijuu hitotsu, yonsen happyaku yonjuu ni
sanzen roppyaku rokujuu yon, sanzen sanbyaku shichijuu san
sanzen gohyaku rokujuu kyuu, go
hyaku gojuu, hachijuu hachi
sanzen nihyaku rokujuu shichi, ni sen hachijuu kyuu
ni sen nanahyaku shichijuu yon, sen hyaku juusan
ni sen yonhyaku shichijuu yon, ni sen yonhyaku hachijuu hitotsu
nihyaku kyuujuu kyuu, ni sen hyaku hatachi
yonsen kyuujuu hachi, gohyaku sanjuu yon
sanzen yonhyaku rokujuu, ni sen yonhyaku kyuujuu
yonsen nanahyaku go, yonsen yonhyaku hachijuu roku
sanzen yonhyaku gojuu hitotsu, sanbyaku hachijuu hitotsu
sen yonhyaku gojuu hitotsu, roppyaku shichijuu shichi
sanzen rokujuu yon, sanzen kyuuhyaku yonjuu shichi
sanzen yonhyaku sanjuu shichi, sanzen gohyaku gojuu san
yonsen hyaku rokujuu, kyuuhyaku rokujuu hachi
yonsen yonhyaku, sen sanbyaku shichijuu san
ni sen kyuuhyaku sanjuu shichi, sen gohyaku rokujuu
yonsen gohyaku gojuu kyuu, ni sen sanbyaku gojuu ni
ni sen kyuuhyaku yonjuu hitotsu, yonhyaku hachijuu roku
ni sen roppyaku sanjuu shichi, hyaku hatachi yon
kyuuhyaku yonjuu hachi, sanzen hyaku shichijuu
ni sen hyakuhachi juuichi, nihyaku yonjuu
sen yonhyaku juushichi, ni sen nihyaku sanjuu go
sen happyaku kyuu, ni sen hatachi
yonhyaku gojuu hachi, sen kyuuhyaku kyuujuu san
ni sen yonhyaku hachijuu, sanzen nanahyaku gojuu ni
kyuuhyaku sanjuu san, shichijuu hitotsu
ni sen hyaku rokujuu hitotsu, nanahyaku hachijuu hachi
ni sen sanjuu yon, happyaku rokujuu shichi
sen roppyaku go, sen nihyaku hachijuu hachi
sen happyaku rokujuu yon, nihyaku juu
ni sen yonhyaku sanjuu hachi, yonsen yonhyaku hachijuu san
yonsen nihyaku shichijuu kyuu, ni sen nanahyaku kyuujuu hitotsu
sen yonhyaku hatachi yon, sen hyaku shichi
sen kyuuhyaku shichijuu yon, yonsen hyakuhachi juukyuu
sanzen hachijuu hitotsu, sanzen hatachi san
sanzen sanbyaku hachi, yonsen hyaku gojuu go
kyuuhyaku rokujuu hitotsu, sanzen happyaku rokujuu hitotsu
sen gohyaku shichijuu, yonsen sanbyaku yon
roppyaku sanjuu yon, sanzen kyuuhyaku kyuujuu ni
shichijuu go, sen yonhyaku rokujuu shichi
yonsen yonhyaku kyuujuu san, sanzen gohyaku juuichi
ni sen happyaku hachi, sen nanahyaku juusan
yonsen happyaku hachijuu roku, ni sen nihyaku kyuujuu hachi
ni sen nihyaku shichijuu yon, ni sen roppyaku go
ni sen hyaku hitotsu, gohyaku juu
ni sen gohyaku ni, nihyaku kyuujuu go
ni sen nanahyaku juuhachi, sen roppyaku hatachi hitotsu
sen gohyaku rokujuu hachi, sanzen nihyaku hachijuu hachi
yonsen gohyaku hatachi hachi, yonsen happyaku rokujuu san
ni sen roppyaku rokujuu, sanzen gohyaku rokujuu
sen nanahyaku sanjuu roku, roppyaku hachijuu san
sanzen hyaku gojuu go, sanbyaku juuhachi
sanzen nihyaku hachijuu go, yonsen roppyaku hachijuu
sanzen gohyaku yonjuu ni, sanzen happyaku sanjuu hitotsu
yonsen hatachi go, sanzen kyuuhyaku yonjuu san
sen hyaku juushi, sen sanbyaku gojuu san
yonsen yonjuu san, sen roppyaku yonjuu hitotsu
ni sen yonhyaku gojuu ni, ni sen nihyaku gojuu ni
ni sen yonhyaku sanjuu kyuu, sen hyakuhachi juuroku
happyaku juuhachi, sen nanahyaku yonjuu ni
sanzen happyaku rokujuu yon, sanzen hyaku
sen hyaku sanjuu, kyuuhyaku sanjuu
happyaku sanjuu, kyuuhyaku go
sanzen nanahyaku kyuujuu ni, sen nanahyaku gojuu roku
sanzen roppyaku rokujuu yon, ni sen roppyaku gojuu kyuu
gohyaku sanjuu hachi, sanzen roppyaku kyuu
sanzen sanbyaku hatachi hachi, ni sen kyuuhyaku gojuu kyuu
yonsen yonhyaku rokujuu, sanzen roppyaku kyuujuu yon
yonsen kyuuhyaku sanjuu roku, ni sen yonjuu shichi
sen nanahyaku hachijuu hachi, sanzen yonhyaku gojuu san
sanzen yonhyaku shichijuu hitotsu, sen nanahyaku hachijuu shichi
yonsen hyaku kyuujuu hitotsu, sanbyaku hatachi hitotsu
yonsen nanahyaku gojuu kyuu, sen nihyaku gojuu shichi
ni sen kyuuhyaku yon, roppyaku go
ni sen hyaku hatachi go, sanzen kyuuhyaku hachijuu hitotsu
sanzen sanbyaku yonjuu shichi, kyuuhyaku
ni sen gohyaku shichijuu yon, gohyaku gojuu hachi
ni sen kyuu, ni sen sanbyaku sanjuu yon
yonhyaku gojuu shichi, sen roppyaku sanjuu ni
yonsen nanahyaku yonjuu ni, ni sen nanahyaku hatachi roku
gohyaku hachi, sanzen sanbyaku rokujuu ni
sen nihyaku rokujuu hachi, sen hyaku juuichi
yonsen kyuuhyaku rokujuu hachi, ni sen rokujuu yon
ni sen shichijuu yon, sanzen nihyaku shichijuu ni
sen kyuuhyaku hitotsu, sen nihyaku rokujuu shichi
sen hachijuu hachi, sen nanahyaku yonjuu hitotsu
ni sen sanbyaku yonjuu roku, ni sen nihyaku hitotsu
sen shichijuu shichi, sanzen hyaku hatachi shichi
gojuu hachi, sen yonhyaku hatachi yon
nihyaku gojuu roku, sanzen happyaku rokujuu shichi
ni sen happyaku hatachi ni, sen hyaku shichijuu kyuu
hyaku hatachi shichi, sen roppyaku shichijuu yon
yonsen yonjuu go, sanzen shichijuu san
sanzen hyaku juushichi, sen yonhyaku hachijuu yon
sanzen nihyaku juuhachi, ni sen roppyaku kyuujuu ni
sanzen gohyaku juushi, sen roppyaku juuroku
sanbyaku rokujuu roku, kyuuhyaku yonjuu ni
yonsen roppyaku hachijuu roku, sen nihyaku yonjuu go
hyaku hatachi hitotsu, sanzen hyaku san
yonhyaku yonjuu san, ni sen sanbyaku hachijuu hachi
sanzen sanbyaku shichijuu san, sanzen kyuuhyaku hatachi ni
yonsen nanahyaku sanjuu kyuu, roppyaku yonjuu shichi
sanzen shichi, ni sen nanahyaku go
yonsen happyaku, ni sen nanahyaku juukyuu
hyaku yonjuu, happyaku sanjuu san
yonsen hyaku sanjuu shichi, yonsen yonhyaku shichijuu
kyuuhyaku juushi, hyaku shichijuu shichi
ni sen nanahyaku yonjuu yon, yonsen yonhyaku shichijuu go
hyaku kyuujuu ni, sen hyaku gojuu shichi
sen gohyaku kyuujuu san, yonsen gojuu shichi
ni sen sanbyaku yonjuu, sen hyakuhachi juusan
sen sanbyaku juu, ni sen hyaku juukyuu
yonhyaku kyuujuu yon, sanzen yonhyaku yonjuu
ni sen yonhyaku gojuu hitotsu, sen nihyaku shichijuu
sanzen roppyaku rokujuu yon, yonsen roppyaku yonjuu shichi
ni sen gohyaku yonjuu go, roppyaku rokujuu san
ni sen nanahyaku sanjuu ni, ni sen nanahyaku juushi
happyaku hachijuu hachi, happyaku juushi
ni sen happyaku gojuu san, sen gohyaku yonjuu shichi
ni sen sanbyaku juugo, yonsen nihyaku hachijuu roku
yonsen sanbyaku yonjuu roku, sen happyaku gojuu roku
sanzen nihyaku sanjuu, yonsen yonhyaku sanjuu yon
ni sen gohyaku gojuu hachi, nanahyaku juuni
ni sen happyaku yonjuu kyuu, yonsen juu
yonsen sanbyaku juuichi, ni sen kyuuhyaku hachijuu hachi
sen roppyaku hatachi hachi, ni sen juusan
yonsen happyaku yonjuu roku, sen gohyaku gojuu kyuu
sanzen nihyaku shichijuu ni, yonsen kyuuhyaku sanjuu shichi
ni sen hyaku shichijuu roku, sanzen hyaku
sen yonhyaku gojuu hachi, sanzen kyuuhyaku shichijuu yon
ni sen yonhyaku gojuu, yonhyaku yonjuu go
sanzen hyaku shichijuu san, ni sen kyuuhyaku hatachi yon
yonsen nihyaku sanjuu roku, sanzen hachijuu hitotsu
yonhyaku shichijuu yon, ni sen nanahyaku gojuu hachi
sanzen hyaku sanjuu san, ni sen kyuuhyaku hachijuu hachi
ni sen nihyaku hachi, sanbyaku rokujuu shichi
sen kyuujuu yon, sen happyaku hachijuu roku
ni sen yonhyaku roku, ni sen nihyaku yonjuu
sen kyuuhyaku kyuujuu hitotsu, hyaku sanjuu roku
ni sen nanahyaku shichijuu kyuu, yonsen kyuuhyaku rokujuu hitotsu
ni sen shichijuu hitotsu, rokujuu yon
sen yonhyaku gojuu hachi, yonsen yonhyaku hachi
sanzen gohyaku hachijuu shichi, ni sen yonhyaku shichijuu kyuu
sen happyaku gojuu, sanzen happyaku hatachi shichi
yonsen sanbyaku shichi, sanzen roppyaku juushichi
sen nihyaku juuhachi, sanzen kyuuhyaku kyuujuu hachi
yonsen yonhyaku gojuu san, sanzen roppyaku hachijuu shichi
yonsen yonhyaku juugo, nanahyaku hachijuu yon
roppyaku rokujuu kyuu, sanzen gohyaku sanjuu kyuu
sanzen happyaku juuichi, sanzen nanahyaku hachijuu
roppyaku rokujuu, ni sen gohyaku juusan
ni sen nanahyaku shichijuu kyuu, sen sanbyaku rokujuu kyuu
sen sanbyaku hatachi hachi, sen kyuujuu kyuu
sen nihyaku rokujuu hachi, sen kyuuhyaku shichijuu hachi
sanzen gohyaku yonjuu go, yonhyaku hitotsu
ni sen nihyaku rokujuu san, sen yonjuu yon
sanzen gohyaku gojuu ni, yonsen gohyaku hachi
sen roppyaku kyuu, sen yonhyaku kyuujuu san
sen happyaku juukyuu, sanzen happyaku yonjuu shichi
yonsen go, roppyaku kyuu
roppyaku juuni, ni sen sanbyaku gojuu roku
ni sen nihyaku gojuu hachi, ni sen nanahyaku kyuujuu ni
ni sen happyaku hitotsu, roppyaku juushi
sanzen hyaku kyuujuu, sen gohyaku hatachi hitotsu
yonsen sanbyaku gojuu hachi, sen hachijuu san
yonsen nanahyaku gojuu shichi, yonhyaku rokujuu ni
sen nihyaku hitotsu, sen happyaku hatachi hitotsu
sanzen sanbyaku gojuu hitotsu, sanzen yonhyaku rokujuu hitotsu
ni sen roppyaku kyuujuu go, ni sen roppyaku yonjuu san
ni sen sanjuu, sanzen happyaku roku
ni sen shichi, sanzen sanbyaku kyuujuu go
yonhyaku shichijuu yon, yonsen happyaku hachijuu kyuu
sen hyaku juuroku, sen juushi
sanzen yonhyaku hachijuu ni, yonsen yonhyaku juukyuu
yonsen nanahyaku kyuujuu roku, kyuuhyaku san
sen hachijuu yon, yonsen yonhyaku gojuu san
ni sen nanahyaku sanjuu kyuu, ni sen roppyaku juuhachi
sen nihyaku shichijuu yon, nihyaku rokujuu yon
sanzen kyuujuu hitotsu, sanzen kyuuhyaku shichi
sanzen gohyaku shichijuu roku, ni sen gohyaku hachi
yonsen nanahyaku juuhachi, yonsen gojuu ni
ni sen hyaku kyuu, sen kyuuhyaku yonjuu yon
sanzen gohyaku shichi, ni sen yonhyaku hatachi yon
sanbyaku juu, sanzen gohyaku sanjuu go
yonhyaku shichijuu shichi, sanbyaku sanjuu kyuu
nihyaku rokujuu kyuu, gohyaku sanjuu hitotsu
yonsen yonhyaku juu, yonsen nihyaku rokujuu go
sanbyaku hatachi, sen nanahyaku juusan
ni sen happyaku hatachi shichi, sen sanbyaku gojuu yon
yonsen hyaku kyuujuu hachi, yonsen kyuuhyaku hachi
yonsen yonhyaku kyuujuu roku, sen yonhyaku gojuu yon
sen roppyaku shichijuu hachi, yonsen kyuuhyaku sanjuu kyuu
sanzen gohyaku hatachi shichi, happyaku sanjuu shichi
yonsen sanbyaku hatachi kyuu, sanzen happyaku hatachi go
ni sen gohyaku shichijuu san, sanzen happyaku shichijuu ni
sanzen yonhyaku gojuu, happyaku yon
ni sen gohyaku juuni, sen roppyaku juushi
yonsen happyaku hatachi hitotsu, yonsen nihyaku hachijuu go
kyuuhyaku shichijuu roku, ni sen nanahyaku hachi
sen hyaku gojuu shichi, sanzen nihyaku kyuujuu shichi
nihyaku hatachi ni, sanzen sanbyaku yonjuu hitotsu
sanzen kyuujuu san, gohyaku juuichi
sanzen kyuuhyaku hatachi hachi, sen gojuu ni
nihyaku sanjuu shichi, gojuu yon
sanzen nihyaku hatachi hitotsu, yonsen yonhyaku shichijuu roku
ni sen roppyaku hatachi san, juugo
sanzen hyaku juusan, yonsen hyakuhachi juugo
ni sen nanahyaku juu, sen hyaku sanjuu hitotsu
sanzen yonhyaku hachijuu, ni sen sanbyaku juu
sen gojuu, ni sen nihyaku shichijuu hitotsu
ni sen roppyaku yonjuu, happyaku sanjuu hitotsu
kyuuhyaku kyuujuu hitotsu, yonsen hyaku juusan
ni sen nanahyaku yonjuu ni, sanzen roppyaku yonjuu go
yonsen sanbyaku hachijuu ni, sen sanbyaku yonjuu roku
yonsen sanbyaku yonjuu, sen happyaku hachijuu shichi
sen yonhyaku juuhachi, ni sen hatachi hachi
happyaku hatachi roku, ni sen sanbyaku rokujuu ni
roppyaku yon, sanzen roppyaku hatachi
sanzen nihyaku yonjuu san, yonsen nanahyaku hachijuu hachi
happyaku yonjuu hachi, yonsen yonjuu hitotsu
sen sanbyaku yonjuu yon, nanahyaku shichijuu kyuu
sanzen nanahyaku hachijuu go, sanzen kyuuhyaku hatachi go
yonsen gohyaku juugo, ni sen roppyaku rokujuu kyuu
sen gohyaku ni, sanzen happyaku juuhachi
ni sen nihyaku juuichi, sen nanahyaku hachijuu shichi
yonsen roppyaku hachijuu san, sanzen kyuuhyaku juukyuu
yonsen hyaku sanjuu roku, sen yonhyaku juushichi
sanzen sanbyaku shichijuu, sanzen happyaku juuichi
sen sanbyaku yonjuu yon, yonsen happyaku hatachi hachi
ni sen gohyaku shichi, sanzen hyaku yonjuu go
sanzen gojuu roku, sanzen nihyaku juukyuu
ni sen yonhyaku yonjuu shichi, ni sen yonhyaku yonjuu roku
kyuuhyaku gojuu hitotsu, gohyaku shichijuu ni
nihyaku shichijuu hachi, sen yonhyaku hachijuu yon
nanahyaku hatachi roku, gohyaku yonjuu shichi
sanzen happyaku juuichi, yonsen roppyaku gojuu go
sanzen roppyaku juuroku, go sen
sanzen kyuuhyaku yonjuu yon, sanzen hyaku hitotsu
yonsen kyuujuu go, sanzen nanahyaku hatachi yon
sanzen sanbyaku yonjuu hachi, sanzen kyuujuu hachi
roppyaku rokujuu shichi, hyaku sanjuu yon
sanzen sanbyaku rokujuu, sen nihyaku shichijuu roku
roppyaku yonjuu hachi, sanzen gohyaku shichijuu yon
sanzen hyaku rokujuu, sen roppyaku yonjuu kyuu
yonhyaku sanjuu roku, sen nihyaku rokujuu kyuu
sanzen sanbyaku kyuujuu shichi, ni sen gohyaku hachi
gohyaku yonjuu ni, sanzen kyuuhyaku hachijuu san
yonsen roppyaku shichijuu hitotsu, yonsen yonjuu roku
sanbyaku gojuu kyuu, ni sen yonhyaku hatachi kyuu
yonsen hyaku gojuu ni, sanzen hyaku kyuujuu san
sen roppyaku hachijuu ni, hitotsu
yonsen nihyaku hachi, sen sanbyaku shichijuu hitotsu
ni sen yonhyaku juuichi, sen nanahyaku rokujuu ni
sen kyuuhyaku kyuujuu hachi, ni sen hyaku gojuu yon
sen gohyaku gojuu san, yonsen nihyaku gojuu go
sen nihyaku yonjuu, sen gohyaku sanjuu hitotsu
sen yonhyaku kyuujuu hitotsu, yonsen nihyaku yonjuu hitotsu
sen kyuuhyaku hachijuu ni, roppyaku hatachi san
ni sen nanahyaku yonjuu hachi, yonsen happyaku yonjuu hitotsu
sanzen nanahyaku kyuujuu ni, juushichi
ni sen sanbyaku gojuu, sanzen yonhyaku rokujuu roku
yonsen yonhyaku sanjuu hitotsu, hyaku kyuujuu yon
sanzen nihyaku sanjuu san, ni sen yonhyaku hatachi hitotsu
ni sen nihyaku juushi, sen nanahyaku yonjuu yon
roppyaku rokujuu go, yonsen ni
ni sen gohyaku gojuu yon, sen yonhyaku gojuu hachi
sen hyaku hitotsu, sanzen nanahyaku kyuujuu roku
yonsen kyuuhyaku gojuu hachi, yonsen hyaku yonjuu roku
hatachi yon, ni sen sanbyaku sanjuu
ni sen kyuuhyaku kyuujuu kyuu, ni sen hyaku hatachi roku
sanzen hyaku rokujuu kyuu, sanzen nihyaku san
sanzen roppyaku shichi, yonhyaku hachijuu hachi
yonsen kyuuhyaku roku, sanzen happyaku hachijuu yon
ni sen yonhyaku rokujuu shichi, ni sen sanbyaku kyuujuu ni
sen sanbyaku gojuu ni, sen kyuuhyaku hachijuu yon
nanahyaku gojuu hitotsu, sanzen sanjuu shichi
yonsen kyuuhyaku rokujuu san, kyuuhyaku sanjuu san
sen nanahyaku kyuujuu hachi, roppyaku gojuu
sanzen gohyaku juusan, nanahyaku hitotsu
kyuuhyaku gojuu ni, happyaku hatachi yon
yonsen nihyaku kyuujuu go, yonsen hyaku yonjuu go
sanbyaku hachijuu hitotsu, sen happyaku juushichi
sen roppyaku sanjuu kyuu, ni
yonsen roppyaku kyuujuu go, sanzen nihyaku shichi
yonsen hatachi hachi, sen yonhyaku hatachi go
sen kyuuhyaku kyuujuu shichi, yonsen roppyaku kyuujuu ni
yonsen yonhyaku gojuu ni, ni sen nanahyaku juuhachi
sanzen kyuuhyaku juuichi, sanzen roppyaku kyuujuu ni
kyuuhyaku kyuujuu shichi, sen gohyaku rokujuu yon
sen hatachi hitotsu, ni sen rokujuu san
ni sen sanbyaku gojuu hachi, sanzen nihyaku hachijuu
yonsen roppyaku rokujuu, sanzen yon
sen happyaku hachijuu san, ni sen kyuuhyaku shichijuu go
yonsen happyaku shichijuu go, ni sen yonhyaku hitotsu
yonsen rokujuu san, yonsen roppyaku kyuujuu roku
yonsen happyaku hachijuu hitotsu, sanbyaku rokujuu yon
yonsen kyuuhyaku yonjuu ni, sanzen hachijuu hachi
sanzen sanbyaku rokujuu go, nihyaku sanjuu shichi
sanzen kyuuhyaku gojuu go, ni sen sanbyaku hachijuu go
sanzen gojuu san, yonsen happyaku shichijuu san
sen hyaku gojuu roku, sanzen happyaku kyuujuu roku
sanzen gohyaku kyuujuu yon, yonsen yonhyaku hachijuu ni
ni sen roppyaku yonjuu, ni sen yonhyaku hachijuu hachi
sen nihyaku shichijuu hitotsu, gohyaku kyuujuu hachi
sen nihyaku juushichi, yonsen yonhyaku sanjuu kyuu
yonsen nihyaku juushichi, ni sen kyuuhyaku hitotsu
yonsen hyaku sanjuu hachi, sen roppyaku hachijuu ni
hyakuhachi juuichi, ni sen sanbyaku hachijuu ni
yonsen shichi, ni sen hyakuhachi juuichi
sen juugo, ni sen yonhyaku rokujuu hitotsu
sanbyaku yonjuu kyuu, yonsen gohyaku kyuujuu kyuu
sanbyaku kyuujuu hitotsu, sen roppyaku kyuujuu san
sen yonhyaku sanjuu yon, sen nanahyaku yonjuu hitotsu
nanahyaku shichi, sen gohyaku rokujuu hachi
sanbyaku gojuu hitotsu, yonsen nihyaku yonjuu san
ni sen roppyaku shichijuu ni, nanahyaku hachijuu roku
sanzen happyaku kyuujuu ni, sanzen nanahyaku hachijuu ni
ni sen happyaku shichijuu yon, yonsen happyaku yonjuu san
yonsen nanahyaku shichijuu, sanzen kyuuhyaku gojuu ni
sen sanbyaku roku, nanahyaku shichi
ni sen ni, sen hyaku gojuu go
gohyaku hatachi hachi, sanzen gohyaku hatachi shichi
sanzen hyaku gojuu hitotsu, sanzen nihyaku shichijuu ni
sen yonhyaku hachijuu hitotsu, happyaku yonjuu ni
sanbyaku san, yonhyaku sanjuu san
sanzen sanbyaku hachijuu roku, ni sen gohyaku sanjuu yon
nihyaku gojuu san, sen nanahyaku kyuujuu san
ni sen hyaku rokujuu yon, sen happyaku sanjuu ni
ni sen sanbyaku hachijuu san, yonsen gohyaku
ni sen hyaku gojuu hitotsu, ni sen nanahyaku kyuujuu san
sanzen nanahyaku sanjuu, ni sen gohyaku hachijuu roku
sen nanahyaku rokujuu san, nihyaku sanjuu go
ni sen happyaku hatachi shichi, sanbyaku yonjuu go
yonsen happyaku gojuu san, sanzen yonhyaku hachijuu hachi
yonsen hyaku shichijuu hachi, yonhyaku hatachi ni
sanzen hyaku sanjuu kyuu, sanzen sanbyaku yonjuu yon
yonsen nihyaku rokujuu kyuu, sanzen happyaku gojuu go
hyaku rokujuu shichi, sanzen yonjuu kyuu
sen kyuujuu hachi, sanzen sanbyaku hitotsu
yonsen kyuuhyaku sanjuu go, gohyaku gojuu hitotsu
gohyaku rokujuu yon, ni sen gohyaku hachijuu ni
ni sen roppyaku yonjuu hachi, sanzen sanbyaku gojuu kyuu
sanzen nanahyaku go, sanzen hachijuu san
nihyaku shichijuu go, yonsen yonhyaku gojuu san
sanzen gohyaku yonjuu roku, sen happyaku juukyuu
sen sanbyaku rokujuu yon, sanzen nanahyaku
gohyaku yonjuu kyuu, yonsen happyaku kyuujuu shichi
gohyaku rokujuu hitotsu, ni sen yonjuu shichi
sen nihyaku yon, yonsen yonhyaku hachijuu shichi
sen gohyaku kyuujuu san, sanzen nanahyaku sanjuu go
yonsen gohyaku gojuu hachi, sen hyaku hitotsu
ni sen kyuuhyaku hachijuu san, ni sen hachijuu san
ni sen sanbyaku hachijuu ni, ni sen nihyaku yonjuu roku
ni sen gojuu kyuu, sen roppyaku juuichi
sanzen nihyaku hachijuu shichi, sen rokujuu
yonsen nanahyaku go, happyaku shichijuu hitotsu
sen happyaku hatachi yon, yonsen nanahyaku yonjuu san
yonhyaku hatachi go, kyuuhyaku gojuu yon
roppyaku yonjuu kyuu, sanzen roppyaku kyuujuu yon
yonsen roppyaku hatachi yon, sanzen sanbyaku yonjuu hachi
sanzen yonhyaku shichijuu hitotsu, ni sen nanahyaku juushi
sanzen happyaku hachijuu hachi, sen nihyaku kyuu
sanzen nanahyaku hatachi kyuu, sanzen yonhyaku juushichi
sen gohyaku gojuu roku, yonsen happyaku sanjuu ni
sanzen yonhyaku hatachi ni, yonsen roppyaku kyuu
yonsen yonhyaku yon, sanzen roppyaku sanjuu hachi
sen nihyaku kyuujuu hachi, sanzen roppyaku hachijuu hitotsu
ni sen yonhyaku gojuu go, yonhyaku kyuujuu roku
sanzen hyaku yonjuu hitotsu, nihyaku gojuu san
yonsen yonhyaku hachijuu, sanzen nanahyaku sanjuu hachi
sen sanbyaku hachijuu ni, sanzen sanbyaku yonjuu kyuu
sanzen hatachi shichi, ni sen happyaku juushichi
yonsen sanbyaku gojuu kyuu, ni sen hitotsu
yonsen kyuuhyaku san, ni sen happyaku kyuujuu san
sen gohyaku shichijuu go, hachijuu kyuu
