,sents,labels
0,二千六百七十四つのリングがあります。; 千二百十八つのリングがあります。,0
1771,図書館には千三百三十冊の本があります。; 図書館には二百七十冊の本があります。,0
1772,四千四百三十三つのリングがあります。; 四千八百八十九つのリングがあります。,1
1773,七百三十八ドルかかります。; 千八百二ドルかかります。,1
1774,スメアゴルは千六百五十五匹のハエを傷つけます。; スメアゴルは四千二百八十五匹のハエを傷つけます。,1
1775,スメアゴルは二千五百八十八匹のハエを傷つけます。; スメアゴルは千三百七匹のハエを傷つけます。,0
1776,図書館には二千九百三十冊の本があります。; 図書館には三千四百四十冊の本があります。,1
1777,彼は三千五百六十五個のオレンジを食べることができました。; 彼は千六十三個のオレンジを食べることができました。,0
1778,部屋は三千五百八十一つのジャガイモで満たされていました。; 部屋は千二百二十七つのジャガイモで満たされていました。,0
1779,部屋は四千五百二十五つのジャガイモで満たされていました。; 部屋は二千四百二十六つのジャガイモで満たされていました。,0
1780,スメアゴルは三千四百八十七匹のハエを傷つけます。; スメアゴルは四千匹のハエを傷つけます。,1
1781,レゴラスは千百九十二人の小人を投げました。; レゴラスは千二百十一人の小人を投げました。,1
1782,レゴラスは千五百九十三人の小人を投げました。; レゴラスは千百八十一人の小人を投げました。,0
1783,スメアゴルは五十二匹のハエを傷つけます。; スメアゴルは二千五百三十六匹のハエを傷つけます。,1
1784,スメアゴルは千三百三十五匹のハエを傷つけます。; スメアゴルは四千四百九十一匹のハエを傷つけます。,1
1785,家には猫が二百四匹いました。; 家には猫が七十九匹いました。,0
1786,四千九百八十四つのリングがあります。; 千五十四つのリングがあります。,0
1787,二百六十三つのリングがあります。; 八百十六つのリングがあります。,1
1788,彼は四千四十七個のオレンジを食べることができました。; 彼は千八十個のオレンジを食べることができました。,0
1789,三千二百二十八つのリングがあります。; 二千百四十八つのリングがあります。,0
1790,千百九十二ドルかかります。; 四千四百八十三ドルかかります。,1
1791,図書館には二千八百九十冊の本があります。; 図書館には四千五百十六冊の本があります。,1
1792,彼は四千七百個のオレンジを食べることができました。; 彼は三千五百八十五個のオレンジを食べることができました。,0
1793,レゴラスは八百十一人の小人を投げました。; レゴラスは千三十六人の小人を投げました。,1
1794,スメアゴルは二千八百三十四匹のハエを傷つけます。; スメアゴルは千四百二匹のハエを傷つけます。,0
1795,四百二十九ドルかかります。; 四千三百五十六ドルかかります。,1
1796,レゴラスは千九百八十四人の小人を投げました。; レゴラスは二千二百五十六人の小人を投げました。,1
1797,レゴラスは三千四百十五人の小人を投げました。; レゴラスは二千四百三十四人の小人を投げました。,0
1798,彼は百四十個のオレンジを食べることができました。; 彼は二千九百九十個のオレンジを食べることができました。,1
1799,彼は三千二百五十個のオレンジを食べることができました。; 彼は千六百四十四個のオレンジを食べることができました。,0
1800,アイゼンガードにホビット三千七十四匹を連れて行く。; アイゼンガードにホビット四千九百六十一匹を連れて行く。,1
1801,部屋は四千二百つのジャガイモで満たされていました。; 部屋は三千七百八十八つのジャガイモで満たされていました。,0
1802,家には猫が千八百四十七匹いました。; 家には猫が三千八百三十八匹いました。,1
1803,テーブルには四千八百九十四つのリンゴがありました。; テーブルには四千五百二十三つのリンゴがありました。,0
1804,図書館には九十三冊の本があります。; 図書館には三千四十三冊の本があります。,1
1805,部屋は三千八百三十八つのジャガイモで満たされていました。; 部屋は千九十二つのジャガイモで満たされていました。,0
1806,四千百二つのリングがあります。; 千三百二十六つのリングがあります。,0
1807,彼は二千五百二十七個のオレンジを食べることができました。; 彼は三百十三個のオレンジを食べることができました。,0
1808,テーブルには八百九十つのリンゴがありました。; テーブルには千二百六十八つのリンゴがありました。,1
1809,テーブルには三千九百八十九つのリンゴがありました。; テーブルには二千三百九十つのリンゴがありました。,0
1810,テーブルには九百六十九つのリンゴがありました。; テーブルには二千五つのリンゴがありました。,1
1811,部屋は二千五百二十四つのジャガイモで満たされていました。; 部屋は三千四百四十一つのジャガイモで満たされていました。,1
1812,家には猫が六百二十一匹いました。; 家には猫が千四百五十一匹いました。,1
1813,図書館には二千七百七十三冊の本があります。; 図書館には八百四十三冊の本があります。,0
1814,スメアゴルは二千二百十四匹のハエを傷つけます。; スメアゴルは三千六百二十匹のハエを傷つけます。,1
1815,少年は三千五百三十五枚のコインを持っています。; 少年は四千五百十二枚のコインを持っています。,1
1816,彼は百九十個のオレンジを食べることができました。; 彼は四千七十一個のオレンジを食べることができました。,1
1817,家には猫が七百四十三匹いました。; 家には猫が四千五十八匹いました。,1
1818,彼は三千六百四十六個のオレンジを食べることができました。; 彼は二千四百七十三個のオレンジを食べることができました。,0
1819,彼は二千二百八十九個のオレンジを食べることができました。; 彼は四千三百九十一個のオレンジを食べることができました。,1
1820,アイゼンガードにホビット三千五百二十二匹を連れて行く。; アイゼンガードにホビット千二百七十三匹を連れて行く。,0
1821,家には猫が千三百三十匹いました。; 家には猫が四千三百十八匹いました。,1
1822,部屋は千四百三十二つのジャガイモで満たされていました。; 部屋は千九百三十九つのジャガイモで満たされていました。,1
1823,部屋は三千二百二十九つのジャガイモで満たされていました。; 部屋は九百六十つのジャガイモで満たされていました。,0
1824,少年は三千二百二十四枚のコインを持っています。; 少年は二千五百三十枚のコインを持っています。,0
1825,レゴラスは三千百二十三人の小人を投げました。; レゴラスは二千四百七十七人の小人を投げました。,0
1826,彼は三千七百五十個のオレンジを食べることができました。; 彼は四千四百四十三個のオレンジを食べることができました。,1
1827,少年は二千八百八十九枚のコインを持っています。; 少年は二千六百九十三枚のコインを持っています。,0
1828,三千六百九十三つのリングがあります。; 四千六百三十三つのリングがあります。,1
1829,七百四十六ドルかかります。; 千九百四十五ドルかかります。,1
1830,彼は二千五百二十四個のオレンジを食べることができました。; 彼は六百五十九個のオレンジを食べることができました。,0
1831,スメアゴルは二千三百八十七匹のハエを傷つけます。; スメアゴルは二百六匹のハエを傷つけます。,0
1832,レゴラスは二千五百四十八人の小人を投げました。; レゴラスは千七百四十人の小人を投げました。,0
1833,アイゼンガードにホビット四千八百四十四匹を連れて行く。; アイゼンガードにホビット九百三十五匹を連れて行く。,0
1834,レゴラスは四千三百九十九人の小人を投げました。; レゴラスは二千九十五人の小人を投げました。,0
1835,スメアゴルは四千二百五十一匹のハエを傷つけます。; スメアゴルは三千九百九十二匹のハエを傷つけます。,0
1836,家には猫が二千六十二匹いました。; 家には猫が七百九十四匹いました。,0
1837,レゴラスは七百九十六人の小人を投げました。; レゴラスは二千百七十九人の小人を投げました。,1
1838,テーブルには八百七十つのリンゴがありました。; テーブルには九百六つのリンゴがありました。,1
1839,スメアゴルは四千七十三匹のハエを傷つけます。; スメアゴルは百九十三匹のハエを傷つけます。,0
1840,少年は二千二百六十一枚のコインを持っています。; 少年は四千六百三十八枚のコインを持っています。,1
1841,七百四十九つのリングがあります。; 四千四百六十つのリングがあります。,1
1842,スメアゴルは三十五匹のハエを傷つけます。; スメアゴルは百七十五匹のハエを傷つけます。,1
1843,家には猫が二千九十三匹いました。; 家には猫が九百九十四匹いました。,0
1844,少年は三千六十九枚のコインを持っています。; 少年は四千三百九十八枚のコインを持っています。,1
1845,スメアゴルは千五百六十三匹のハエを傷つけます。; スメアゴルは二千二百三十一匹のハエを傷つけます。,1
1846,家には猫が三千二百九匹いました。; 家には猫が三千百三匹いました。,0
1847,テーブルには四百六十九つのリンゴがありました。; テーブルには四千三百三十六つのリンゴがありました。,1
1848,アイゼンガードにホビット三千四百七十四匹を連れて行く。; アイゼンガードにホビット千九百二十四匹を連れて行く。,0
1849,彼は六百三個のオレンジを食べることができました。; 彼は二千四百四十八個のオレンジを食べることができました。,1
1850,少年は三千八百九十四枚のコインを持っています。; 少年は四千三十四枚のコインを持っています。,1
1851,部屋は三千九百二十三つのジャガイモで満たされていました。; 部屋は三千三百つのジャガイモで満たされていました。,0
1852,図書館には四千八百九十九冊の本があります。; 図書館には百七十六冊の本があります。,0
1853,図書館には九百三十七冊の本があります。; 図書館には三千七百三十四冊の本があります。,1
1854,部屋は千百六十四つのジャガイモで満たされていました。; 部屋は四千九百四十五つのジャガイモで満たされていました。,1
1855,スメアゴルは千六十一匹のハエを傷つけます。; スメアゴルは二千百八十匹のハエを傷つけます。,1
1856,スメアゴルは千三百八十六匹のハエを傷つけます。; スメアゴルは三千八百二十七匹のハエを傷つけます。,1
1857,彼は二百七十五個のオレンジを食べることができました。; 彼は三百十五個のオレンジを食べることができました。,1
1858,家には猫が五百十四匹いました。; 家には猫が二千三百六十五匹いました。,1
1859,レゴラスは三千九百九十八人の小人を投げました。; レゴラスは四千六百九十一人の小人を投げました。,1
1860,家には猫が二千五百三十四匹いました。; 家には猫が二千百四十三匹いました。,0
1861,レゴラスは二千五十二人の小人を投げました。; レゴラスは七百二十一人の小人を投げました。,0
1862,四千三百十二ドルかかります。; 八百七十三ドルかかります。,0
1863,部屋は四千二つのジャガイモで満たされていました。; 部屋は千六百十二つのジャガイモで満たされていました。,0
1864,レゴラスは九百八十二人の小人を投げました。; レゴラスは二千百八十九人の小人を投げました。,1
1865,少年は四千八百三十二枚のコインを持っています。; 少年は二千三百二十一枚のコインを持っています。,0
1866,部屋は四千九百つのジャガイモで満たされていました。; 部屋は四百四十四つのジャガイモで満たされていました。,0
1867,彼は九百十六個のオレンジを食べることができました。; 彼は二千六百六十三個のオレンジを食べることができました。,1
1868,部屋は四千百五十八つのジャガイモで満たされていました。; 部屋は四千七百五十五つのジャガイモで満たされていました。,1
1869,テーブルには九百二十九つのリンゴがありました。; テーブルには百五つのリンゴがありました。,0
1870,四千百十七つのリングがあります。; 四千七十二つのリングがあります。,0
1871,四千二百五十一ドルかかります。; 三千三百七十八ドルかかります。,0
1872,彼は千九百二十九個のオレンジを食べることができました。; 彼は四千百五十五個のオレンジを食べることができました。,1
1873,二千十九ドルかかります。; 五百七十五ドルかかります。,0
1874,アイゼンガードにホビット四千三百四十三匹を連れて行く。; アイゼンガードにホビット千八百六十八匹を連れて行く。,0
1875,テーブルには四十九つのリンゴがありました。; テーブルには三千四百十二つのリンゴがありました。,1
1876,アイゼンガードにホビット二千六百七匹を連れて行く。; アイゼンガードにホビット二千五百七十二匹を連れて行く。,0
1877,四千六百二十七ドルかかります。; 二千三百五十二ドルかかります。,0
1878,彼は二千九百二個のオレンジを食べることができました。; 彼は四千八百五十五個のオレンジを食べることができました。,1
1879,少年は百八十三枚のコインを持っています。; 少年は四千五百九十七枚のコインを持っています。,1
1880,部屋は二千六百四十八つのジャガイモで満たされていました。; 部屋は千九十一つのジャガイモで満たされていました。,0
1881,少年は四千百九十一枚のコインを持っています。; 少年は四千百二十六枚のコインを持っています。,0
1882,家には猫が四千九十七匹いました。; 家には猫が千五百八十二匹いました。,0
1883,千二百五十四つのリングがあります。; 二千五百四十三つのリングがあります。,1
1884,彼は三千五百五十八個のオレンジを食べることができました。; 彼は二千三百八十三個のオレンジを食べることができました。,0
1885,家には猫が三百八十匹いました。; 家には猫が四千五百六十匹いました。,1
1886,四十九ドルかかります。; 千六百十八ドルかかります。,1
1887,彼は四千九十個のオレンジを食べることができました。; 彼は二千六百三十四個のオレンジを食べることができました。,0
1888,彼は三千八百二十二個のオレンジを食べることができました。; 彼は千七百五十四個のオレンジを食べることができました。,0
1889,彼は三千四十個のオレンジを食べることができました。; 彼は千四百九十二個のオレンジを食べることができました。,0
1890,部屋は四千四百八十五つのジャガイモで満たされていました。; 部屋は千二百二十九つのジャガイモで満たされていました。,0
1891,レゴラスは三千三百四十人の小人を投げました。; レゴラスは千二百三十四人の小人を投げました。,0
1892,スメアゴルは二千二百三十五匹のハエを傷つけます。; スメアゴルは四千四百三十五匹のハエを傷つけます。,1
1893,家には猫が千八十五匹いました。; 家には猫が三千一匹いました。,1
1894,図書館には千八十七冊の本があります。; 図書館には三百六十五冊の本があります。,0
1895,千四百八十六ドルかかります。; 四千百二十六ドルかかります。,1
1896,レゴラスは四千六百五十二人の小人を投げました。; レゴラスは八百八人の小人を投げました。,0
1897,少年は四千四百六十五枚のコインを持っています。; 少年は三千三百四十五枚のコインを持っています。,0
1898,彼は四千百十一個のオレンジを食べることができました。; 彼は千三百八十一個のオレンジを食べることができました。,0
1899,部屋は千つのジャガイモで満たされていました。; 部屋は四千八百六十四つのジャガイモで満たされていました。,1
1900,部屋は六百五つのジャガイモで満たされていました。; 部屋は二千二百五つのジャガイモで満たされていました。,1
1901,テーブルには四千五百四十三つのリンゴがありました。; テーブルには二千三十八つのリンゴがありました。,0
1902,部屋は千八十五つのジャガイモで満たされていました。; 部屋は千九百四十四つのジャガイモで満たされていました。,1
1903,テーブルには四千百九十四つのリンゴがありました。; テーブルには九十八つのリンゴがありました。,0
1904,レゴラスは二千八百九十七人の小人を投げました。; レゴラスは千九百十一人の小人を投げました。,0
1905,少年は二千九百八枚のコインを持っています。; 少年は四千四百六十九枚のコインを持っています。,1
1906,アイゼンガードにホビット二千四百四十一匹を連れて行く。; アイゼンガードにホビット四千七百四十五匹を連れて行く。,1
1907,四千八百四十五つのリングがあります。; 三千八百三十一つのリングがあります。,0
1908,スメアゴルは二千百二十八匹のハエを傷つけます。; スメアゴルは七百六十三匹のハエを傷つけます。,0
1909,三千六百二十七ドルかかります。; 四千八百七十七ドルかかります。,1
1910,家には猫が五百十四匹いました。; 家には猫が二百四十二匹いました。,0
1911,図書館には千九百九十冊の本があります。; 図書館には四千六百八十冊の本があります。,1
1912,図書館には三百三十冊の本があります。; 図書館には千百十六冊の本があります。,1
1913,テーブルには三千十つのリンゴがありました。; テーブルには三百六十九つのリンゴがありました。,0
1914,アイゼンガードにホビット三百九匹を連れて行く。; アイゼンガードにホビット三千八百三十一匹を連れて行く。,1
1915,少年は七百七十三枚のコインを持っています。; 少年は千九百六十枚のコインを持っています。,1
1916,テーブルには千二百七十一つのリンゴがありました。; テーブルには四千八百十一つのリンゴがありました。,1
1917,家には猫が四百八十匹いました。; 家には猫が四千六百七十八匹いました。,1
1918,スメアゴルは四千七百七匹のハエを傷つけます。; スメアゴルは千四十三匹のハエを傷つけます。,0
1919,図書館には千三十三冊の本があります。; 図書館には二千九百九十一冊の本があります。,1
1920,部屋は四千五百七十つのジャガイモで満たされていました。; 部屋は六百十一つのジャガイモで満たされていました。,0
1921,四千九百七十五ドルかかります。; 三千四十九ドルかかります。,0
1922,家には猫が二千四十七匹いました。; 家には猫が二千六百五十六匹いました。,1
1923,少年は二千三十六枚のコインを持っています。; 少年は千四百三十枚のコインを持っています。,0
1924,少年は二千九百七十四枚のコインを持っています。; 少年は八百八十七枚のコインを持っています。,0
1925,アイゼンガードにホビット百五十八匹を連れて行く。; アイゼンガードにホビット三千五百五十匹を連れて行く。,1
1926,三千六百九十五ドルかかります。; 千三百七十一ドルかかります。,0
1927,テーブルには四千二百六つのリンゴがありました。; テーブルには千四百七つのリンゴがありました。,0
1928,三千六百四十つのリングがあります。; 百九十つのリングがあります。,0
1929,テーブルには二千六百十八つのリンゴがありました。; テーブルには四百五十二つのリンゴがありました。,0
1930,部屋は二千六百四十三つのジャガイモで満たされていました。; 部屋は三千二百五十八つのジャガイモで満たされていました。,1
1931,二千五百八十つのリングがあります。; 千三百十三つのリングがあります。,0
1932,レゴラスは三千百七十人の小人を投げました。; レゴラスは四千百五十人の小人を投げました。,1
1933,部屋は千七百七十二つのジャガイモで満たされていました。; 部屋は三千八百五十七つのジャガイモで満たされていました。,1
1934,彼は三千五十二個のオレンジを食べることができました。; 彼は千四百四十四個のオレンジを食べることができました。,0
1935,家には猫が千三百三十二匹いました。; 家には猫が千三百五十八匹いました。,1
1936,少年は五百一枚のコインを持っています。; 少年は二百一枚のコインを持っています。,0
1937,彼は八十三個のオレンジを食べることができました。; 彼は二千二百三十九個のオレンジを食べることができました。,1
1938,図書館には三千三百八十四冊の本があります。; 図書館には四千六百九十七冊の本があります。,1
1939,四千九百八十九つのリングがあります。; 三千百二つのリングがあります。,0
1940,レゴラスは二千五百三十七人の小人を投げました。; レゴラスは三千八人の小人を投げました。,1
1941,家には猫が三千三百八十六匹いました。; 家には猫が四百九十九匹いました。,0
1942,図書館には二千五百七十冊の本があります。; 図書館には千五十五冊の本があります。,0
1943,彼は五百四十九個のオレンジを食べることができました。; 彼は千五百四個のオレンジを食べることができました。,1
1944,アイゼンガードにホビット三百八十八匹を連れて行く。; アイゼンガードにホビット二千百四十四匹を連れて行く。,1
1945,二百七十つのリングがあります。; 四千六百五十一つのリングがあります。,1
1946,テーブルには二千二百八十九つのリンゴがありました。; テーブルには四千二百九十九つのリンゴがありました。,1
1947,部屋は二千四百六十七つのジャガイモで満たされていました。; 部屋は二千六百二十六つのジャガイモで満たされていました。,1
1948,アイゼンガードにホビット二千五百九匹を連れて行く。; アイゼンガードにホビット三十九匹を連れて行く。,0
1949,スメアゴルは千五百六十匹のハエを傷つけます。; スメアゴルは二千百七十三匹のハエを傷つけます。,1
1950,スメアゴルは百二十七匹のハエを傷つけます。; スメアゴルは三千二百六十四匹のハエを傷つけます。,1
1951,少年は二千三百四十三枚のコインを持っています。; 少年は二百十二枚のコインを持っています。,0
1952,部屋は二千九百八十五つのジャガイモで満たされていました。; 部屋は四千七つのジャガイモで満たされていました。,1
1953,部屋は四百二つのジャガイモで満たされていました。; 部屋は二千七百七十九つのジャガイモで満たされていました。,1
1954,スメアゴルは千七百四十三匹のハエを傷つけます。; スメアゴルは千三百八十匹のハエを傷つけます。,0
1955,スメアゴルは四千二百十七匹のハエを傷つけます。; スメアゴルは三千四百八十六匹のハエを傷つけます。,0
1956,三千二百一つのリングがあります。; 四千三十五つのリングがあります。,1
1957,テーブルには千四百四十九つのリンゴがありました。; テーブルには三千五百五十八つのリンゴがありました。,1
1958,家には猫が九百五十三匹いました。; 家には猫が千五百八匹いました。,1
1959,八百九十八つのリングがあります。; 千三百五つのリングがあります。,1
1960,スメアゴルは三千四百三十二匹のハエを傷つけます。; スメアゴルは千七百四十匹のハエを傷つけます。,0
1961,テーブルには二千五百五十八つのリンゴがありました。; テーブルには七百七十九つのリンゴがありました。,0
1962,家には猫が三千九百六十六匹いました。; 家には猫が三千三百七十一匹いました。,0
1963,図書館には二千六百十三冊の本があります。; 図書館には千二百二十七冊の本があります。,0
1964,部屋は二千六百八十七つのジャガイモで満たされていました。; 部屋は千二百五十二つのジャガイモで満たされていました。,0
1965,図書館には八百十四冊の本があります。; 図書館には四千百三冊の本があります。,1
1966,アイゼンガードにホビット四千二百九十三匹を連れて行く。; アイゼンガードにホビット三千百七匹を連れて行く。,0
1967,家には猫が四千五百七十九匹いました。; 家には猫が三千八百三十七匹いました。,0
1968,家には猫が四千六百四十六匹いました。; 家には猫が二百六十七匹いました。,0
1969,百四十三つのリングがあります。; 千百九つのリングがあります。,1
1970,スメアゴルは五百七十一匹のハエを傷つけます。; スメアゴルは四千六百八十二匹のハエを傷つけます。,1
1971,アイゼンガードにホビット二千八百二十五匹を連れて行く。; アイゼンガードにホビット三千六百六十二匹を連れて行く。,1
1972,テーブルには三千百九十八つのリンゴがありました。; テーブルには四十八つのリンゴがありました。,0
1973,三千七百十五つのリングがあります。; 八百九十八つのリングがあります。,0
1974,テーブルには三百三十六つのリンゴがありました。; テーブルには四百三十四つのリンゴがありました。,1
1975,テーブルには四千十五つのリンゴがありました。; テーブルには千五十九つのリンゴがありました。,0
1976,少年は三千四百八十七枚のコインを持っています。; 少年は二千百八十五枚のコインを持っています。,0
1977,テーブルには二千三百五十四つのリンゴがありました。; テーブルには二千三百十三つのリンゴがありました。,0
1978,四千二百十七つのリングがあります。; 五百十七つのリングがあります。,0
1979,図書館には二千五百七十五冊の本があります。; 図書館には二百三十七冊の本があります。,0
1980,スメアゴルは千二百三十二匹のハエを傷つけます。; スメアゴルは四千六百五十九匹のハエを傷つけます。,1
1981,四千六百八つのリングがあります。; 四千九百三十三つのリングがあります。,1
1982,スメアゴルは二千四百十九匹のハエを傷つけます。; スメアゴルは千二百五十匹のハエを傷つけます。,0
1983,千二百八十七ドルかかります。; 千四百二十五ドルかかります。,1
1984,家には猫が六百二十九匹いました。; 家には猫が五百三十六匹いました。,0
1985,テーブルには四千百四十つのリンゴがありました。; テーブルには二千三十三つのリンゴがありました。,0
1986,四百五十八つのリングがあります。; 四千八十四つのリングがあります。,1
1987,二千四百七十二ドルかかります。; 四千百七十四ドルかかります。,1
1988,部屋は二千四百八十つのジャガイモで満たされていました。; 部屋は三千三百二つのジャガイモで満たされていました。,1
1989,図書館には二千三百四十八冊の本があります。; 図書館には四千百七十一冊の本があります。,1
1990,家には猫が四千六百九十五匹いました。; 家には猫が五百八十一匹いました。,0
1991,家には猫が四千六百二十三匹いました。; 家には猫が三千八百四十八匹いました。,0
1992,テーブルには二千三百九十七つのリンゴがありました。; テーブルには四百五十二つのリンゴがありました。,0
1993,家には猫が千五百十五匹いました。; 家には猫が二千七百十一匹いました。,1
1994,図書館には二千八百八十七冊の本があります。; 図書館には千九百七十三冊の本があります。,0
1995,部屋は四百二十五つのジャガイモで満たされていました。; 部屋は七百四十八つのジャガイモで満たされていました。,1
1996,家には猫が四千八百五十九匹いました。; 家には猫が四百九十二匹いました。,0
1997,図書館には五百二十一冊の本があります。; 図書館には三百五十九冊の本があります。,0
1998,彼は三千二百二十八個のオレンジを食べることができました。; 彼は二千九百三十七個のオレンジを食べることができました。,0
1999,千百四十四ドルかかります。; 二千百八十ドルかかります。,1
2000,スメアゴルは三千七百三十九匹のハエを傷つけます。; スメアゴルは四百七十六匹のハエを傷つけます。,0
2001,アイゼンガードにホビット四千五百七十三匹を連れて行く。; アイゼンガードにホビット四百九十二匹を連れて行く。,0
2002,アイゼンガードにホビット三千四百十四匹を連れて行く。; アイゼンガードにホビット千五百六匹を連れて行く。,0
2003,アイゼンガードにホビット二百五十九匹を連れて行く。; アイゼンガードにホビット七百三匹を連れて行く。,1
2004,二千二百四ドルかかります。; 千九百六十一ドルかかります。,0
2005,図書館には千百六十七冊の本があります。; 図書館には三百八十五冊の本があります。,0
2006,三千九十七つのリングがあります。; 三千八百七十一つのリングがあります。,1
2007,テーブルには二千七百二十八つのリンゴがありました。; テーブルには六百二十六つのリンゴがありました。,0
2008,彼は三千二百二十五個のオレンジを食べることができました。; 彼は三千百六十六個のオレンジを食べることができました。,0
2009,アイゼンガードにホビット四千七百三十五匹を連れて行く。; アイゼンガードにホビット四千百五十二匹を連れて行く。,0
2010,彼は四千七百三十二個のオレンジを食べることができました。; 彼は四千二百九十六個のオレンジを食べることができました。,0
2011,三千八百六十四つのリングがあります。; 二百四十一つのリングがあります。,0
2012,図書館には二千七十冊の本があります。; 図書館には四千四百十五冊の本があります。,1
2013,レゴラスは百五十五人の小人を投げました。; レゴラスは九百四十七人の小人を投げました。,1
2014,少年は千五百五十枚のコインを持っています。; 少年は二百十一枚のコインを持っています。,0
2015,部屋は三千八百四つのジャガイモで満たされていました。; 部屋は二千七百四十六つのジャガイモで満たされていました。,0
2016,部屋は四千八百二十一つのジャガイモで満たされていました。; 部屋は三千八百二十六つのジャガイモで満たされていました。,0
2017,彼は七百七十七個のオレンジを食べることができました。; 彼は四千六百六十六個のオレンジを食べることができました。,1
2018,部屋は二千八百五十一つのジャガイモで満たされていました。; 部屋は四千五百四十四つのジャガイモで満たされていました。,1
2019,部屋は二千四十九つのジャガイモで満たされていました。; 部屋は三百十八つのジャガイモで満たされていました。,0
2020,少年は八十六枚のコインを持っています。; 少年は三千百九十七枚のコインを持っています。,1
2021,少年は二千三百四十四枚のコインを持っています。; 少年は七百五枚のコインを持っています。,0
2022,図書館には五百三十一冊の本があります。; 図書館には千六百九十九冊の本があります。,1
2023,アイゼンガードにホビット千五百六十九匹を連れて行く。; アイゼンガードにホビット二千三百三匹を連れて行く。,1
2024,アイゼンガードにホビット二千六百六十三匹を連れて行く。; アイゼンガードにホビット千七百五十二匹を連れて行く。,0
2025,レゴラスは八百九十三人の小人を投げました。; レゴラスは四千七十五人の小人を投げました。,1
2026,図書館には三千九百十二冊の本があります。; 図書館には千九十九冊の本があります。,0
2027,スメアゴルは三千六百七十八匹のハエを傷つけます。; スメアゴルは三千三百九十四匹のハエを傷つけます。,0
2028,少年は二千八十八枚のコインを持っています。; 少年は二千八百十四枚のコインを持っています。,1
2029,彼は四千四十一個のオレンジを食べることができました。; 彼は十一個のオレンジを食べることができました。,0
2030,図書館には四十八冊の本があります。; 図書館には四千七百十冊の本があります。,1
2031,レゴラスは七百五十四人の小人を投げました。; レゴラスは三千五十八人の小人を投げました。,1
2032,少年は四千百八十四枚のコインを持っています。; 少年は三千二百十枚のコインを持っています。,0
2033,家には猫が四千六百十九匹いました。; 家には猫が千九百八十二匹いました。,0
2034,アイゼンガードにホビット千九百四十四匹を連れて行く。; アイゼンガードにホビット八百五十五匹を連れて行く。,0
2035,二千九百六ドルかかります。; 二千八百四十三ドルかかります。,0
2036,アイゼンガードにホビット千八百十二匹を連れて行く。; アイゼンガードにホビット三千三百三十三匹を連れて行く。,1
2037,家には猫が千九百二十八匹いました。; 家には猫が三千二百六十二匹いました。,1
2038,彼は二百四十四個のオレンジを食べることができました。; 彼は六百十八個のオレンジを食べることができました。,1
2039,家には猫が千六百八十匹いました。; 家には猫が三千五百三十一匹いました。,1
2040,千六百二十九ドルかかります。; 千四百二十三ドルかかります。,0
2041,図書館には三千二百十九冊の本があります。; 図書館には三千二百十九冊の本があります。,2
2042,家には猫が四千九百四十七匹いました。; 家には猫が二千六百八十八匹いました。,0
2043,千五百十四つのリングがあります。; 七百六つのリングがあります。,0
2044,部屋は千九百十三つのジャガイモで満たされていました。; 部屋は三千四百三十六つのジャガイモで満たされていました。,1
2045,彼は三千四百八十四個のオレンジを食べることができました。; 彼は三千八百十七個のオレンジを食べることができました。,1
2046,彼は四千三百六十五個のオレンジを食べることができました。; 彼は四千七十二個のオレンジを食べることができました。,0
2047,テーブルには千三百二十七つのリンゴがありました。; テーブルには四千五百六十七つのリンゴがありました。,1
2048,テーブルには十九つのリンゴがありました。; テーブルには二千七百七十つのリンゴがありました。,1
2049,少年は三千五百三十六枚のコインを持っています。; 少年は三千七十六枚のコインを持っています。,0
2050,三千二十八つのリングがあります。; 四千二百九十七つのリングがあります。,1
2051,図書館には千五百七十冊の本があります。; 図書館には四千二百六十冊の本があります。,1
2052,レゴラスは三千八百四十二人の小人を投げました。; レゴラスは五千人の小人を投げました。,1
2053,少年は二千四十九枚のコインを持っています。; 少年は二千三百四十一枚のコインを持っています。,1
2054,三百十八ドルかかります。; 千三百五十三ドルかかります。,1
2055,四千二百六十七つのリングがあります。; 三千二百二十八つのリングがあります。,0
2056,図書館には四千冊の本があります。; 図書館には二千九百八十八冊の本があります。,0
2057,レゴラスは三千四百二十二人の小人を投げました。; レゴラスは千五百二十二人の小人を投げました。,0
2058,スメアゴルは千八百二十八匹のハエを傷つけます。; スメアゴルは二千八十九匹のハエを傷つけます。,1
2059,少年は六百九十枚のコインを持っています。; 少年は四千三百二十九枚のコインを持っています。,1
2060,スメアゴルは四千九十二匹のハエを傷つけます。; スメアゴルは六百八十匹のハエを傷つけます。,0
2061,家には猫が三千五百十一匹いました。; 家には猫が百六十四匹いました。,0
2062,部屋は四千百七十三つのジャガイモで満たされていました。; 部屋は五百三十四つのジャガイモで満たされていました。,0
2063,三千九百九十三つのリングがあります。; 千百十九つのリングがあります。,0
2064,彼は千四百個のオレンジを食べることができました。; 彼は千六百三十七個のオレンジを食べることができました。,1
2065,三千九百八十つのリングがあります。; 千四百三つのリングがあります。,0
2066,スメアゴルは千八百二十三匹のハエを傷つけます。; スメアゴルは三百十八匹のハエを傷つけます。,0
2067,アイゼンガードにホビット二千五百八十五匹を連れて行く。; アイゼンガードにホビット二千五百六十九匹を連れて行く。,0
2068,アイゼンガードにホビット四千百三十二匹を連れて行く。; アイゼンガードにホビット三千八百十三匹を連れて行く。,0
